Topic,Question,Answer
Astronomy,Approximately how long ago did the Big Bang occur?,13.8 billion years ago
Astronomy,Approximately how long does it take the moon to orbit the Earth?,28 days
Astronomy,"By what name is a ""quasi-stellar radio source"" better known as?",Quasar
Astronomy,"How many martian days does a ""sol"" refer to?",1 martian day
Astronomy,"In ~4.5 billion years, which galaxy will merge with the <em>Milky Way</em> galaxy to form <em>Milkdromeda</em>?",Andromeda
Astronomy,"In 2019, which specific black hole did scientists photograph?",Messier 87 (M87)
Astronomy,"In the cores of stars, what does hydrogen fuse into?",Helium
Astronomy,Name a star in our solar system.,The Sun
Astronomy,"On April 24 1990, what famous telescope was launched into space?",Hubble Space Telescope
Astronomy,Phobos and Deimos both orbit which planet?,Mars
Astronomy,The Hubble Space Telescope was named after which astronomer?,Edwin Powell Hubble
Astronomy,"The process by which ""stars explode when they die"" is called what?",Supernova
Astronomy,The satellite Titan orbits which planet?,Mars
Astronomy,What do you call a large number of meteoroids occurring at the same time and place?,Meteor Shower
Astronomy,"What does ""ISS"" stand for?",International Space Station
Astronomy,What has an incredibly strong gravitational pull that light can’t even escape?,Black Holes
Astronomy,What is the hottest planet in the solar system?,Venus
Astronomy,What is the most abundant state of matter in the universe?,Plasma
Astronomy,"What is the name for an ""interstellar cloud of dust, hydrogen, helium and other ionized gases""?",Nebula
Astronomy,What is the name of the dwarf planet that was a planet until 2006?,Pluto
Astronomy,What is the name of the radiation that black holes emit due to quantum phenomena near the event horizon?,Hawking Radiation
Astronomy,What is the only planet not named after Greek gods or goddesses?,Earth
Astronomy,What is the only spacecraft that has left the solar system?,Voyager 2
Astronomy,What is the second largest planet in the solar system?,Saturn
Astronomy,What is the smallest planet within our solar system?,Mercury
Astronomy,What manned US space program put 12 men on the Moon in total?,Apollo
Astronomy,"What planet is known as ""the red planet""?",Mars
Astronomy,Which gas comprises most of Venus' atmosphere?,Carbon Dioxide
Astronomy,Which planet has a hexagonal-shaped storm?,Saturn
Astronomy,Which planet is also called <em>The Morning Star</rm>?,Venus
Biology,<em>Alphainfluenzavirus</em> is responsible for what illness?,The Flu / Influenza
Biology,<em>Escherichia Coli</em> is more commonly known as what?,E. Coli
Biology,<em>Homo Sapiens</em> is the scientific name for which organism?,Humans
Biology,Approximately how much our DNA comes from viruses (in percent)?,8 percent
Biology,Botany is the scientific study of what?,Plants
Biology,By what process do plants use chlorophyll to make glucose?,Photosynthesis
Biology,Does a Eukaryotic cell have a cell wall?,No
Biology,How many bones do sharks have?,0 bones
Biology,How many bones does an adult human have?,206
Biology,"In biology, what does ""DNA"" stand for?",Deoxyribonucleic Acid
Biology,Lymph nodes are part of which system in the human body?,"Lymphatic system, which is part of the immune system"
Biology,"Mushrooms, truffles, and mould are examples of what kingdom of organisms?",Fungi
